ID,SMILES,Tb_rhodesiense
3099,NC(C1C=C(COC2C(Br)=CC(C(=NO)N)=CC=2Br)C=CC=1)=NO,5.16178077809237
3422,NC(C1C=CC(COC2C(I)=CC(C(=NO)N)=CC=2)=CC=1)=NO,4.58838029403677
2956,NC(C1C=CC(COC2C=CC(N)=CC=2)=CC=1)=N,5.52287874528034
2086,NC(C1C=C(COC2C(Br)=CC(C(=N)N)=CC=2Br)C=CC=1)=N,8.39794000867204
2222,NC(C1C=CC(COC2C=C(C(=N)N)C=CC=2)=CC=1)=N,7.55284196865778
2359,NC(C1C=CC(COC2C(I)=CC(C(=N)N)=CC=2I)=CC=1)=N,6.91364016932525
3429,CON=C(C1C=C(COC2C(Cl)=CC(C(=NOC)N)=CC=2)C=CC=1)N,4.58335949266172
3737,COC1C(OCC2C=C(C(=NO)N)C=CC=2)=C(Br)C=C(C(=NO)N)C=1,4.05601112492623
3433,CON=C(C1C=C(COC2C(I)=CC(C(=NOC)N)=CC=2I)C=CC=1)N,4.58004425151024
3435,NC(C1C=C(COC2C(Cl)=CC(C(=NO)N)=CC=2Cl)C=CC=1)=NO,4.57839607313017
3278,NC(C1C=C(COC2C(Br)=CC(C(=NO)N)=CC=2)C=CC=1)=NO,4.83268266525182
2098,NC(C1C=C(COC2C(Br)=CC(C(=N)N)=CC=2)C=CC=1)=N,8.30102999566398
2099,COC1C(OCC2C=C(C(=N)N)C=CC=2)=C(Br)C=C(C(=N)N)C=1,8.30102999566398
2100,NC(C1C=C(COC2C(I)=CC(C(=N)N)=CC=2)C=CC=1)=N,8.30102999566398
3597,NC(C1C=C(COC2C(Cl)=CC(C(=NO)N)=CC=2)C=CC=1)=NO,4.30803489723264
3605,NC(C1C=C(COC2C(I)=CC(C(=NO)N)=CC=2)C=CC=1)=NO,4.29929628285498
3607,CON=C(C1C=CC(COC2C(I)=CC(C(=NOC)N)=CC=2)=CC=1)N,4.29756946355447
2988,NC(C1C=CC(COC2C=CC=CC=2)=CC=1)=N,5.43062609038495
3767,CON=C(C1C=C(COC2C(OC)=CC(C(=NOC)N)=CC=2OC)C=CC=1)N,3.96257350205938
2999,COC1C=CC(OCC2C=CC(C(=N)N)=CC=2)=CC=1,5.40340290437354
2126,NC(C1C=C(COC2C(Cl)=CC(C(=N)N)=CC=2)C=CC=1)=N,8.15490195998574
2847,NC(C1C=CC(OCC2C=CC=CC=2)=CC=1)=N,5.73518217699046
3151,NC(C1C=C(OCC2C=CC=CC=2)C=CC=1)=N,5.03058408764602
3248,NC(C1C=NC(C2OC(C3C=CC=C(C(NO)=N)C=3)=CC=2)=CC=1)=NO,4.87614835903291
