ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
6482,[H]N(C(=O)C1=C([H])C2=NN(C(OC([H])([H])[H])=C2C([H])=C1[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
2166,CC(C)(C)OC(=O)NCCCCCCCCCCCCNC1CCN(CCC2=CC=CC=C2)CC1,,,1.0
5677,[H]N1C(C(=O)N2C([H])([H])C([H])([H])N(C3=C([H])C(OC([H])([H])[H])=C([H])C([H])=C3[H])C([H])([H])C2([H])[H])=C(C(C(=O)C([H])([H])[H])=C1C([H])([H])[H])C([H])([H])[H],0.0,,
685,OCC1=CC=CC=C1C1=CC(Cl)=CN2C1=NC(CS(=O)(=O)C1=CC=CC=C1)=C2[N+]([O-])=O,,1.0,
6131,[H]N(C(=O)C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])N=C([H])C([H])=C1[H],0.0,,
1047,COC1=CC(C=CC(=O)C2=C(O)C3=CC=CC=C3NC2=O)=CC=C1O,,1.0,
7314,[H]N(C(=O)C([H])([H])N1C(=O)N(C(=O)C2=C1C([H])=C([H])C([H])=C2[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C(=O)N([H])C([H])([H])C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],0.0,,
1009,[O-][N+](=O)C1=C(CS(=O)(=O)C2=CC=CC=C2)N=C2N1C=C(Cl)C=C2C1=CC=C(F)C=C1,,1.0,
2914,C(CNC1=NCCN1)NCCNC1=NCCN1,,,0.0
3548,[H]N1C2=C(C(=NN2C(=O)C2=C1C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1.0,,
8394,[H]N(N([H])C1=NC([H])=NC2=C1C1=C(S2)C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])C(=S)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0,,
5588,[H]OC(=O)C([H])(N([H])S(=O)(=O)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0,,
7013,[H]C1=C([H])S(=O)(=O)C([H])([H])C1([H])N(C(=O)C1=C([H])C2=C(OC1=O)C([H])=C([H])C([H])=C2[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],0.0,,
2646,CC(C)(C)C1=CC=C(CN2C=CC(CC2(C)C)=[N+]2CCCC2)C=C1,,,1.0
2642,CC1(C)CC(C=CN1CC1=CC=C(Br)C=C1)=[N+]1CCCC1,,,0.0
5781,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0,,
5613,[H]N(C(=O)OC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N([H])C(=O)OC([H])([H])[H],0.0,,
914,NC1=C2CCCCC2=NC2=CC=CC=C12,,0.0,
621,CN(C1=NC(NCCCNC2=NC(NC3=CC=C(C=C3)C#N)=NC(=N2)N(C)C2=C(C)C=C(C)C=C2C)=NC(NC2=CC=C(C=C2)C#N)=N1)C1=C(C)C=C(C)C=C1C,,1.0,1.0
6960,[H]N(C(=S)N(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C(ON=C1C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0,,
