ID,SMILES,T.cruzi
4483,[H]OC(C#CC([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H],0
3141,[H]OC1([H])C([H])(OC([H])(C([H])([H])[H])C([H])(O[H])C1([H])O[H])N([H])C1=C([H])C([H])=C([H])C2=C1C([H])=C([H])C([H])=C2[H],0
3766,[H]N(C(=O)C1=C(N([H])S(=O)(=O)C2=C3N=C([H])C([H])=C([H])C3=C([H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H])C1=C(OC([H])([H])[H])C([H])=C([H])C(=C1[H])C([H])([H])[H],0
2648,[H]N(C(=O)N([H])C1=C([H])C2=C(OC([H])([H])C([H])([H])O2)C([H])=C1[H])C(=O)C([H])([H])OC(=O)C1([H])OC2=C(OC1([H])[H])C([H])=C([H])C([H])=C2[H],0
77,[H]C1=NC([H])=C(N1C([H])(C1=C([H])C([H])=C(F)C([H])=C1[H])C([H])([H])C([H])([H])[H])C1=C([H])N(N=C1[H])C([H])([H])[H],1
1454,[H]N([H])C([H])([H])C([H])(OC1=C([H])C(C2=C([H])C([H])=NN2C([H])([H])[H])=C(N=C1[H])C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C([H])C([H])=C1[H],1
3999,[H]N(C(=O)C1=C(F)C([H])=C([H])C(=C1[H])S(=O)(=O)N([H])C([H])([H])C1([H])OC2=C(OC1([H])[H])C([H])=C([H])C([H])=C2[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],0
1130,[H]N1C(=O)N(C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
708,[H]N([H])C(=O)C1=C(Cl)C([H])=C([H])C(N([H])C(=O)C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])OC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H],0
4134,[H]OC(=O)C([H])([H])SC(=S)N1C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],0
