ID,SMILES,Tb.rhodesiense
2163,CC(=O)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C(O)C(=C1O)C1=C(C)C=C(O)C2=C1C(=O)C1=CC=CC(O)=C1C2=O,1
946,C1CCN(C1)C12CC(C(NCC1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,1
1043,NCCN1CCC2(CC(C1C(C2)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1)N1CCCC1,1
1044,ClC1=CC=C(C=C1)C1CC2(CC(C1NCC2)C1=CC=C(Cl)C=C1)N1CCCC1,1
1050,NC(=O)CN1CCC2(CC(C1C(C2)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1)N1CCCC1,1
1055,ClC1=CC=C(C=C1Cl)C1CC2(CC(C1NCC2)C1=CC=C(Cl)C(Cl)=C1)N1CCCC1,1
1827,C(CNC1=NCCN1)CN(CCNC1=NCCN1)CCC1=CC=CC=C1,0
91,N1C=C(C2=CC=CC=C12)C1=NC2=CC=CC=C2C2=C1NC=C2,0
548,[O-][N+](=O)C1=NN(CCCNC2=CC=NC3=CC(Cl)=CC=C23)C=N1,1
1519,O=C(NCC1=CC=C(C=C1)C1=NCCN1)C1=CC=C(C=C1)C(=O)NCC1=CC=C(C=C1)C1=NCCN1,1
1139,CC1=CC=C2N=C(NC(=O)CN3C=NC(=N3)[N+]([O-])=O)SC2=C1,0
1124,[O-][N+](=O)C1=NN(CC(=O)NC2=NC3=CC=C(Cl)C=C3S2)C=N1,0
2161,COC1=CC(O)=C(C(O)=C1C(C)=O)C1=C(CO)C=C(O)C2=C1C(=O)C1=CC=CC(O)=C1C2=O,0
2162,COC1=CC(O)=C(C(O)=C1C(C)=O)C1=C(C)C=C(O)C2=C1C(=O)C1=CC=CC(O)=C1C2=O,0
2160,COC1=C(C(C)=O)C(O)=CC(O)=C1C1=C(CO)C=C(O)C2=C1C(=O)C1=CC=CC(O)=C1C2=O,0
1148,FC1=CC=C(C=C1)C(CN1C=CN=C1)OC(=O)COC1=CC=CC=C1,0
1497,NC(=N)C1=CC=CC(=C1)C1=CC(=NO1)C1=CC=C(N=C1)C(N)=N,1
1490,NC(=N)C1=CC=C(C=C1)C1=CC(=NO1)C1=CC=C(N=C1)C(N)=N,1
1491,NC(=N)C1=CC=C(C=C1)C1=CC(=NO1)C1=CN=CC(=C1)C(N)=N,1
1500,NC(=N)C1=CC(=CC=C1)C1=CC(=NO1)C1=CC(=CN=C1)C(N)=N,1
1019,COC(=O)C1=CC2=C(F)C(F)=C(OC3=CC=CC=C3Br)C(F)=C2S1,0
210,NC(=N)C1=CC=C(S1)C1=CC=C(O1)C1=CC2=CC=C(C=C2N1)C(N)=N,1
675,CC(C)(C)C1=CC2=NN1CC\C=C/COC1=CC=C(CC(NC2=O)C(=O)NC2(CC2)C#N)C=C1Cl,1
680,CC1=CC2=NN1CC\C=C/COC1=CC=C(CC(NC2=O)C(=O)NC2(CC2)C#N)C=C1Cl,1
1368,BrC1=CC(=CC=C1)C(=O)CC(CC(=O)C1=CC=CC(Br)=C1)C1=CC=CN=C1,0
1859,C(CCCNC1=NCCN1)CCNC1=NCCN1,0
222,CC=C(C)C(=O)OC(C=C(C)C(C)=O)C1C(OC(=O)C1=C)C=C(C)C=O,1
215,CC=C(C)C(=O)OC(CC(=C)C(C)=O)C1C(OC(=O)C1=C)C=C(C)C=O,1
1333,NC(=N)C1=CC=C(CC2=CC=C(O2)C2=CC=C(C=N2)C(N)=N)C=C1,1
527,[O-][N+](=O)C1=NC=CN1CCCCNC1=C2C=CC=CC2=NC2=CC=CC=C12,1
835,CC1=CC(C)(C)NC2=CC=C(OCC3=CC=CC(=C3)C(F)(F)F)C=C12,1
837,COC1=CC=CC=C1COC1=CC=C2NC(C)(C)C=C(C)C2=C1,1
846,CC1=CC(C)(C)NC2=CC=C(OCC3=CC=C(C=C3)C(F)(F)F)C=C12,1
851,COC1=CC=CC(COC2=CC=C3NC(C)(C)C=C(C)C3=C2)=C1,0
854,CC1=CC(C)(C)NC2=CC=C(OCC3=CC=CC=C3)C=C12,1
864,COC1=CC(OC)=CC(COC2=CC=C3NC(C)(C)C=C(C)C3=C2)=C1,0
832,COC1=CC=C(COC2=CC=C3NC(C)(C)C=C(C)C3=C2)C=C1,1
2090,COC1=CC=CC2=C1C(=O)C1=C(O)C(C3CCCC(C)O3)=C(O)C(Cl)=C1O2,0
29,CC1=CC=CC=C1C(=O)NC1=CC(=CC=N1)C1=CC=CC=C1,1
595,C(CCOC1=CC=CC(=C1)C1=CC2=CC=C(C=C2O1)C1=NCCN1)COC1=CC=CC=C1,1
635,C(OC1=CC=C(C=C1)C1=NC2=CC=CC=C2N1)OC1=CC=C(C=C1)C1=NC2=CC=CC=C2N1,1
1930,CNC1=NC(NC)=NC(CN(CCCNCCCCCCCCCCCCNCCCN(CC2=NC(NC)=NC(NC)=N2)CC2=NC(NC)=NC(NC)=N2)CC2=NC(NC)=NC(NC)=N2)=N1,1
1925,NC1=NC(CN(CCCNCCCCCCCCCCCCNCCCN(CC2=NC(N)=NC(N)=N2)CC2=NC(N)=NC(N)=N2)CC2=NC(N)=NC(N)=N2)=NC(N)=N1,1
1911,CN(C)C1=NC(CN(CCCNCCCCCCCCCCCCNCCCN(CC2=NC(N)=NC(=N2)N(C)C)CC2=NC(N)=NC(=N2)N(C)C)CC2=NC(=NC(N)=N2)N(C)C)=NC(N)=N1,1
1603,CCC(C)C1NC(=O)C2CSC(=N2)C(NC(=O)C2=CSC(CNC(=O)C3N=C1OC3C)=N2)C(C)CC,0
