ID,SMILES,T.cruzi
5562,[H]N(C(=O)C([H])([H])Cl)C1([H])C2=C(C3=C(N2[H])C([H])=C([H])C(=C3[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0
5067,[H]N([H])P(=O)(OC1=C(Cl)C([H])=C([H])C([H])=C1[H])OC1=C(Cl)C([H])=C([H])C([H])=C1[H],0
766,[H]C1=C([H])C(OC([H])([H])C2=C(C([H])=C([H])C([H])=C2[H])N(OC([H])([H])[H])C(=O)OC([H])([H])[H])=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
2747,[H]N(C(=O)N([H])C1(OC2=C(O1)C([H])=C([H])C([H])=C2[H])C(F)(F)F)C([H])([H])C1([H])OC([H])([H])C([H])([H])C1([H])[H],0
6015,[H]N(C(=O)C([H])([H])C1=C([H])SC([H])=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],0
5475,[H]N(C1=NC([H])=C([H])S1)S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])N1C(=S)SC(=C([H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C1=O,0
2816,[H]C1=C2OC([H])([H])OC2=C([H])C2=C1SC(=N2)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
2863,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])([H])C1=C([H])C([H])=NC([H])=C1[H],0
2795,[H]N([H])C1=C(C#N)C([H])(C2=C(SC([H])([H])[H])SC(=C2[H])C([H])([H])[H])C2=C(N1C1=C([H])N=C([H])C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])C2=O,0
3578,[H]C1=C([H])C2=C(C([H])=C1[H])C(OC1=C([H])C(=C([H])C(=C1[H])C([H])([H])[H])C([H])([H])[H])=NC(=N2)C(F)(F)F,0
5363,[H]N([H])C1=C([H])N=C(C([H])=N1)C([H])([H])N([H])C1=C(Cl)C([H])=C([H])C([H])=C1[H],0
3751,[H]N(N=C([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])C(=O)C1=NN([H])C(=C1[H])C1=C([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])=C1[H],0
3890,[H]N(C(=O)C([H])=C([H])C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C(N1[H])C([H])=C([H])C([H])=C2[H],0
1085,[H]N(C1=NC([H])=C(C([H])=N1)C1=C([H])C(F)=C([H])C([H])=C1[H])C1=C(OC([H])([H])[H])C([H])=C([H])C(=C1[H])S(=O)(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],1
4893,[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])OC1=C(C(=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H],0
4242,[H]N(C(=O)C1=C(Cl)C([H])=C([H])C([H])=C1[H])C1=C([H])C(C([H])=C(C#N)C(=O)N([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C([H])C([H])=C1[H],0
3945,[H]N(N=C([H])C1=C(N(N=C1C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C(=O)C1=C([H])C(=NN1[H])C1=C([H])C([H])=C(S1)C([H])([H])[H],0
4497,[H]C1=C([H])C(=C([H])C([H])=C1C([H])([H])[H])S(=O)(=O)C([H])([H])N1N=NN=C1C([H])(N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
4917,[H]OC1=C(C([H])=C2C(=O)OC3=C(C([H])=C([H])C([H])=C3[H])C2=O)C([H])=C([H])C([H])=C1[H],0
4394,[H]N(C(=S)N1C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H],0
4589,[H]N(C(=S)N1C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])C1=C([H])C(=C([H])C(=C1[H])C([H])([H])[H])C([H])([H])[H],0
4559,[H]N(C(=S)N1C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C(=C([H])C([H])=C2[H])C([H])([H])[H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
5233,[H]N([H])C(=O)C1([H])N(C(=O)C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C2(ON=C(C3=C([H])C(N([H])C(=O)C([H])([H])C([H])([H])[H])=C([H])C([H])=C3[H])C2([H])[H])C1([H])[H],0
6132,[H]C1=C([H])C(=C([H])C(=C1Cl)C(F)(F)F)S(=O)(=O)N1C([H])([H])C([H])([H])C([H])(C(=O)OC2([H])C(=O)OC([H])([H])C2([H])[H])C([H])([H])C1([H])[H],0
2312,[H]N(C(=O)C1=NN(C([H])=C1[H])C([H])([H])C([H])([H])[H])C1=C(C([H])=C(C([H])=C1[H])C([H])([H])[H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H],0
834,[H]OC(C1=C([H])N=C([H])C([H])=C1[H])(C1=C([H])C([H])=C(Cl)C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1
1325,[H]C1=NC([H])=C(C([H])=C1[H])C([H])(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
656,[H]N(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
1363,[H]OC([H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
470,[H]OC(C1=C([H])N=C([H])C([H])=C1[H])(C1=C([H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1
5675,[H]N(C(=O)C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H])C([H])([H])C([H])([H])OC1=C([H])C(=C([H])C(=C1[H])C([H])([H])[H])C([H])([H])[H],0
6121,[H]N(N([H])C(=O)C([H])([H])OC(=O)C1=C(Cl)C(Cl)=C(Cl)C([H])=N1)C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H],0
5073,[H]N(C(=O)C([H])([H])OC(=O)C([H])([H])C1=C([H])C([H])=C(Br)C([H])=C1[H])C1=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C1[H],0
