ID,SMILES,Tb.rhodesiense
1300,NC(=N)C1=CC=C(O1)C1=CC=C(O1)C#CC1=CC=C(C=C1)C(N)=N,1.0
1716,[O-][N+](=O)C1=NN(CC(=O)NC2=NC(=CS2)C2=CC=C(F)C(F)=C2)C=N1,0.0
2177,CC12CCC3C(CC3(C)C)C(=C)CCC1O2,0.0
2252,NC(=N)C1=CC=C(NCCCCCNC2=CC=C(C=C2)C(N)=N)C=C1,1.0
1920,CNC1=NC(NCCCNCCCCCCCCCNCCCNC2=NC(NC)=NC(N)=N2)=NC(N)=N1,0.0
997,CC(C)(C)OC(=O)NCCCCNC1CCN(CCC2=CC=CC=C2)CC1,0.0
705,FC(F)(F)OC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2CCCCC2)C(=O)NC2(CC2)C#N)C=C1Cl,1.0
1646,ClC1=CC(=CC=C1)C1=CSC(CCNC(=O)C2=CC=CC=C2)=N1,1.0
279,NC(=N)C1=CC(=CC=C1)C1=CC(=CC=C1)C1=CC(=CC=C1)C(N)=N,1.0
681,FC(F)(F)OC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2COC2)C(=O)NC2(CC2)C#N)C=C1Cl,1.0
9,[O-][N+](=O)C1=NN(CCCN2CCN(CC3=CC=C(Cl)C(Cl)=C3)CC2)C=N1,1.0
1706,[O-][N+](=O)C1=NN(CC(=O)NC2=CC=C(C=C2)N2CCCCC2)C=N1,0.0
349,NC(=N)C1=CC(OCCCCCOC2=CC(=CC=C2)C(N)=N)=CC=C1,1.0
1587,CN(C)C12CC(OC(=O)CCN3CCN(C)CC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1.0
2003,FC1CC(OC1CNC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)N1C=CC(=O)NC1=O,1.0
1068,CN(C)C12CC(C(CN(CCCN3CCCC3)C1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,1.0
722,CC(=O)OC1=CC(C)=C2N(CC3=CC=CC=C3)C(C)(C)C=C(C)C2=C1,0.0
